;Team_id;Year;Week;Team;Manager;FG%;FT%;3PTM;PTS;REB;AST;ST;BLK;TO;Score;Matchup_Wins;Week_Result
0;1;2020;1;Falmaravilhas;Joao;3.0;6.0;4.0;4.0;0.0;6.0;2.0;1.0;6.0;32.0;4.0;1
1;2;2020;1;Goat James;Nicholas;0.0;7.0;7.0;5.0;1.0;7.0;4.0;2.0;1.0;34.0;4.0;1
2;3;2020;1;Chino Hills;Gabriel;4.0;3.0;3.0;2.0;2.0;3.0;7.0;6.0;2.0;32.0;3.0;0
3;4;2020;1;stayfreak7;Manoel;7.0;1.0;0.0;6.0;7.0;5.0;6.0;7.0;0.0;39.0;7.0;1
4;5;2020;1;Jimmy's Team;James;1.0;0.0;2.0;0.0;4.5;4.0;3.0;4.0;7.0;25.5;2.0;1
5;6;2020;1;Hard KAT Maniacs;Fis;2.0;4.0;1.0;1.0;4.5;0.0;0.0;3.0;3.0;18.5;0.0;0
6;7;2020;1;Jonas's Crazy Team;Jonas;6.0;2.0;6.0;7.0;6.0;1.0;5.0;5.0;5.0;43.0;6.0;0
7;8;2020;1;Antonio's Team;Antonio;5.0;5.0;5.0;3.0;3.0;2.0;1.0;0.0;4.0;28.0;2.0;0
8;1;2020;2;Falmaravilhas;Joao;0.0;4.0;1.0;3.0;3.0;5.0;0.0;3.5;1.0;20.5;0.0;0
9;2;2020;2;Goat James;Nicholas;4.0;6.0;7.0;5.0;0.0;3.0;1.0;1.0;3.0;30.0;2.0;0
10;3;2020;2;Chino Hills;Gabriel;1.0;5.0;5.5;6.0;5.0;4.0;7.0;7.0;2.0;42.5;7.0;1
11;4;2020;2;stayfreak7;Manoel;2.0;1.0;0.0;0.0;6.0;6.0;6.0;3.5;4.0;28.5;2.0;0
12;5;2020;2;Jimmy's Team;James;7.0;3.0;2.5;4.0;7.0;7.0;2.0;2.0;0.0;34.5;5.0;1
13;6;2020;2;Hard KAT Maniacs;Fis;3.0;0.0;2.5;1.0;4.0;0.0;4.0;6.0;7.0;27.5;2.0;0
14;7;2020;2;Jonas's Crazy Team;Jonas;5.0;2.0;4.0;7.0;2.0;1.0;3.0;5.0;5.0;34.0;5.0;1
15;8;2020;2;Antonio's Team;Antonio;6.0;7.0;5.5;2.0;1.0;2.0;5.0;0.0;6.0;34.5;5.0;1
16;1;2020;3;Falmaravilhas;Joao;3.0;5.0;1.0;5.0;1.0;6.0;6.0;2.5;1.0;30.5;3.0;0
17;2;2020;3;Goat James;Nicholas;1.0;4.0;3.5;7.0;5.0;7.0;4.0;4.0;4.0;39.5;6.0;1
18;3;2020;3;Chino Hills;Gabriel;2.0;1.0;5.0;1.0;4.0;2.0;7.0;7.0;5.0;34.0;6.0;1
19;4;2020;3;stayfreak7;Manoel;6.0;0.0;0.0;2.0;7.0;4.0;3.0;2.5;0.0;24.5;1.0;0
20;5;2020;3;Jimmy's Team;James;7.0;2.5;2.0;0.0;6.0;3.0;0.0;0.0;2.0;22.5;0.0;0
21;6;2020;3;Hard KAT Maniacs;Fis;0.0;2.5;6.0;4.0;3.0;1.0;5.0;6.0;6.0;33.5;3.0;1
22;7;2020;3;Jonas's Crazy Team;Jonas;5.0;7.0;3.5;6.0;0.0;0.0;2.0;5.0;3.0;31.5;4.0;0
23;8;2020;3;Antonio's Team;Antonio;4.0;6.0;7.0;3.0;2.0;5.0;1.0;1.0;7.0;36.0;5.0;1
24;1;2020;4;Falmaravilhas;Joao;0.0;5.0;5.0;7.0;5.0;6.0;1.5;6.0;4.0;39.5;7.0;1
25;2;2020;4;Goat James;Nicholas;1.0;7.0;7.0;6.0;1.0;4.0;3.0;3.0;0.0;32.0;2.0;1
26;3;2020;4;Chino Hills;Gabriel;3.0;2.0;3.0;1.0;4.0;2.0;7.0;7.0;5.5;34.5;4.5;0
27;4;2020;4;stayfreak7;Manoel;7.0;0.0;1.0;4.0;6.0;7.0;4.5;5.0;1.0;35.5;4.0;0
28;5;2020;4;Jimmy's Team;James;5.0;4.0;2.0;5.0;7.0;3.0;6.0;4.0;2.0;38.0;6.0;1
29;6;2020;4;Hard KAT Maniacs;Fis;4.0;1.0;0.0;0.0;3.0;0.0;1.5;2.0;7.0;18.5;0.0;0
30;7;2020;4;Jonas's Crazy Team;Jonas;6.0;6.0;4.0;2.0;0.0;1.0;0.0;1.0;5.5;25.5;1.5;0
31;8;2020;4;Antonio's Team;Antonio;2.0;3.0;6.0;3.0;2.0;5.0;4.5;0.0;3.0;28.5;3.0;1
32;1;2020;5;Falmaravilhas;Joao;6.5;3.0;6.0;7.0;4.0;4.0;0.0;5.5;5.0;41.0;6.0;1
33;2;2020;5;Goat James;Nicholas;3.0;7.0;5.0;4.0;2.5;7.0;2.0;3.0;0.0;33.5;3.0;0
34;3;2020;5;Chino Hills;Gabriel;1.5;2.0;7.0;2.0;5.0;3.0;7.0;5.5;2.5;35.5;5.0;1
35;4;2020;5;stayfreak7;Manoel;6.5;0.0;0.0;6.0;7.0;5.0;4.5;2.0;1.0;32.0;4.0;1
36;5;2020;5;Jimmy's Team;James;4.0;4.0;1.0;3.0;6.0;6.0;6.0;7.0;2.5;39.5;6.0;1
37;6;2020;5;Hard KAT Maniacs;Fis;1.5;1.0;3.0;0.0;2.5;2.0;1.0;4.0;7.0;22.0;2.0;0
38;7;2020;5;Jonas's Crazy Team;Jonas;5.0;5.0;2.0;5.0;1.0;0.0;4.5;0.5;4.0;27.0;1.5;0
39;8;2020;5;Antonio's Team;Antonio;0.0;6.0;4.0;1.0;0.0;1.0;3.0;0.5;6.0;21.5;0.5;0
40;1;2020;6;Falmaravilhas;Joao;3.0;5.0;5.0;4.5;1.0;4.0;3.0;6.0;2.0;33.5;3.0;1
41;2;2020;6;Goat James;Nicholas;5.0;1.0;7.0;7.0;4.0;6.5;0.0;2.0;0.0;32.5;4.5;1
42;3;2020;6;Chino Hills;Gabriel;1.0;2.0;4.0;6.0;6.0;3.0;7.0;7.0;5.0;41.0;7.0;1
43;4;2020;6;stayfreak7;Manoel;0.0;0.0;0.0;2.0;7.0;6.5;6.0;3.0;1.0;25.5;0.5;0
44;5;2020;6;Jimmy's Team;James;6.0;6.0;2.0;1.0;5.0;2.0;5.0;4.5;3.0;34.5;5.0;1
45;6;2020;6;Hard KAT Maniacs;Fis;2.0;4.0;1.0;0.0;2.0;0.0;4.0;4.5;7.0;24.5;2.0;0
46;7;2020;6;Jonas's Crazy Team;Jonas;7.0;3.0;3.0;3.0;0.0;1.0;2.0;1.0;6.0;26.0;1.0;0
47;8;2020;6;Antonio's Team;Antonio;4.0;7.0;6.0;4.5;3.0;5.0;1.0;0.0;4.0;34.5;5.0;0
48;1;2020;7;Falmaravilhas;Joao;1.0;5.0;3.0;5.0;1.0;5.0;0.0;3.0;2.0;25.0;2.0;0
49;2;2020;7;Goat James;Nicholas;5.0;6.0;6.0;7.0;3.0;7.0;6.0;4.0;4.0;48.0;6.0;1
50;3;2020;7;Chino Hills;Gabriel;2.0;3.0;5.0;1.0;4.0;0.0;5.0;6.0;1.0;27.0;3.0;0
51;4;2020;7;stayfreak7;Manoel;7.0;1.0;0.0;3.0;6.0;6.0;4.0;1.5;0.0;28.5;2.5;0
52;5;2020;7;Jimmy's Team;James;4.0;2.0;4.0;2.0;7.0;1.0;3.0;5.0;5.0;33.0;4.0;1
53;6;2020;7;Hard KAT Maniacs;Fis;6.0;0.0;1.0;0.0;5.0;2.0;7.0;7.0;7.0;35.0;6.0;1
54;7;2020;7;Jonas's Crazy Team;Jonas;0.0;4.0;2.0;4.0;0.0;4.0;2.0;1.5;3.0;20.5;0.5;0
55;8;2020;7;Antonio's Team;Antonio;3.0;7.0;7.0;6.0;2.0;3.0;1.0;0.0;6.0;35.0;4.0;1
